Rank,Name,City,Rating,Ranking,Cutoff,Date,Fees
#1,IIT Bombay - Indian Institute of Technology - [IITB],"Mumbai,Maharashtra",5/5,#1 out of 160 in India 2024,68,10 June - 18 Jun 2024,"₹2,30,700"
#1,IIT Bombay - Indian Institute of Technology - [IITB],"Mumbai,Maharashtra",5/5,#1 out of 160 in India 2024,68,10 June - 18 Jun 2024,"₹2,30,700"
#1,IIT Bombay - Indian Institute of Technology - [IITB],"Mumbai,Maharashtra",5/5,#1 out of 160 in India 2024,68,10 June - 18 Jun 2024,"₹2,30,700"
#1,IIT Bombay - Indian Institute of Technology - [IITB],"Mumbai,Maharashtra",5/5,#1 out of 160 in India 2024,68,10 June - 18 Jun 2024,"₹2,30,700"
#1,IIT Bombay - Indian Institute of Technology - [IITB],"Mumbai,Maharashtra",5/5,#1 out of 160 in India 2024,68,10 June - 18 Jun 2024,"₹2,30,700"
#1,IIT Bombay - Indian Institute of Technology - [IITB],"Mumbai,Maharashtra",5/5,#1 out of 160 in India 2024,68,10 June - 18 Jun 2024,"₹2,30,700"
#2,IIT Delhi - Indian Institute of Technology [IITD],"New Delhi,Delhi NCR",4.9/5,#1 out of 275 in India 2024,417,10 June - 18 Jun 2024,"₹2,28,650"
#3,IIT Madras - Indian Institute of Technology - [IITM],"Chennai,Tamil Nadu",4.9/5,#1 out of 25 in India 2024,419,10 June - 18 Jun 2024,"₹2,42,000"
#4,IIT Kanpur - Indian Institute of Technology - [IITK],"Kanpur,Uttar Pradesh",4.9/5,#3 out of 284 in India 2024,252,10 June - 18 Jun 2024,"₹2,29,970"
#5,IIT Kharagpur - Indian Institute of Technology - [IITKGP],"Kharagpur,West Bengal",4.9/5,#4 out of 160 in India 2024,898,10 June - 18 Jun 2024,"₹2,23,600"
#6,IIT Roorkee - Indian Institute of Technology - [IITR],"Roorkee,Uttarakhand",4.9/5,#5 out of 275 in India 2024,680,10 June - 18 Jun 2024,"₹2,30,100"
#7,IIT Guwahati - Indian Institute of Technology - [IITG],"Guwahati,Assam",4.9/5,#6 out of 160 in India 2024,1021,10 June - 18 Jun 2024,"₹2,88,250"
#9,IIT BHU - Indian Institute of Technology,"Varanasi,Uttar Pradesh",4.9/5,#8 out of 160 in India 2024,2154,10 June - 18 Jun 2024,"₹2,28,315"
#10,IIT Hyderabad - Indian Institute of Technology - [IITH],"Hyderabad,Telangana",4.9/5,#8 out of 300 in India 2024,982,10 June - 18 Jun 2024,"₹2,41,888"
